Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
PYRAMID FESTIVAL,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,34,,06 (juin),www.pyramid-festival.com,KD245,LA GRANDE MOTTE,,,,,,,,,,,,,,34280,34344,43.56853941,,,,,,,,,,
CRESCENT JAZZ FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Différents 11 ! L'autre cinéma espagnol - Paris,Île-de-France,Cinéma et audiovisuel,Cinémas étrangers,75,,06 (juin),www.gnolas.org,HJ023,PARIS,,,,,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
BATEAU MUSIC FESTIVAL,Île-de-France,Musiques actuelles,,78,,06 (juin),www.bateaumusic.com,HD117,Les Mesnuls,,,,,,,,,,,,,,78490,78398,48.75454265,,,,,,,,,,
LES SIESTES ELECTRONIQUES A TOULOUSE,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,31,,06 (juin),www.les-siestes-electroniques.com,KD087,TOULOUSE,,,,,1/1/2001,,,,,,,,,31300,31555,43.59638143,,,,,,,,,,
Rosé Nuits d'été,Auvergne-Rhône-Alpes,Transdisciplinaire,Vin et musique,38,Annuelle,06 (juin),http://www.tourismepierresdorees.com,AA018,Chasselay,,6,,,1/1/2013,,,,,,,,,38470,38086,45.26055365,,,,,,,,,,
TRAVER'CÉ MUSICALES,Pays de la Loire,Musiques actuelles,Musiques traditionnelles et du monde,49,Annuelle,06 (juin),www.ville-lespontsdece.fr/,LD058,LES PONTS DE CE,,14,,,1/1/2005,,,,,,,,,49130,49246,47.42725361,,,,,,,,,,
Arrête ton Cirque,Bretagne,Cirque et Arts de la rue,Cirque,35,,06 (juin),,CM002,Paimpont,,,,,,,,,,,,,,35380,35211,48.03019241,,,,,,,,,,
ÇA JAZZ À BLET,Centre-Val de Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvi Jazz,Corse,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMITIÉ,Grand Est,Pluridisciplinaire Spectacle vivant,,68,,06 (juin),www.festival-amitie.com,FB008,ALTKIRCH,,,,,,,,,,,,,,68130,68004,47.62103365,,,,,,,,,,
JAZZ VOCAL SUNSET/SUNSIDE,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVRY ALL JAZZ'N'BLUES,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UN AIR DE VOYAGE,Île-de-France,Musiques actuelles,Musiques traditionnelles et du monde,95,Annuelle,06 (juin),http://www.premier-dragon.com,HD237,CERGY PONTOISE,,10,,,1/1/2009,,,,,,,,,95000,95127,49.04011316,,,,,,,,,,
Les Impromptus,Île-de-France,Cirque et Arts de la rue,Cirque,93,,06 (juin),,HM012,ST DENIS,,,,,,,,,,,,,,93200,93066,48.92956505,,,,,,,,,,
ENFERMES DEHORS ENCORE,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,23,Annuelle,06 (juin),https://www.lanaute.com,JD050,Champagnat,,2,,,1/1/2017,,,,,,,,,23190,23048,46.02023947,,,,,,,,,,
BELLES RENCONTRES DU JAZZ,Occitanie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÉCLATS DE VOIX (PREIGNAN),Occitanie,Musiques actuelles,Chanson,32,,06 (juin),www.eclatsdevoix.com,KD112,PREIGNAN,,,,,,,,,,,,,,32810,32331,43.72104853,,,,,,,,,,
FESTIVAL DES ANCHES D'AZUR,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENCONTRES FESTIVES DE L'EPICYCLE,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques traditionnelles et du monde,84,,06 (juin),,MD135,AVIGNON,,,,,,,,,,,,,,84140,84007,43.93524483,,,,,,,,,,
JAZZ ENTRAIGUES FESTIVAL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biennale d'art contemporain de Mulhouse,Grand Est,Arts plastiques et visuels,,68,Biennale années impaires,06 (juin),https://www.tourisme-mulhouse.com/,FI008,MULHOUSE,,,,,1/1/2001,,,,,,,,,68200,68224,47.7491633,,,,,,,,,,
LA DEFERLANTE D'ETE,Pays de la Loire,Pluridisciplinaire Spectacle vivant,,85,Annuelle,07 (juillet),www.ladeferlante.com,LB004,LA ROCHE SUR YON,Diverses communes,26,,,1/1/1993,,,,,,,,,85000,85191,46.66752616,,,,,,,,,,
ECLAT(S) D'ÉTÉ Festival des cultures et musiques du monde,Provence-Alpes-Côte d'Azur,Pluridisciplinaire Spectacle vivant,,5,Annuelle,07 (juillet),www.ville-gap.fr/,MB005,GAP,,3,,,1/1/2016,,,,,,,,,5000,5061,44.57986006,,,,,,,,,,
FESTIVRAC,Auvergne-Rhône-Alpes,Musiques actuelles,,1,Annuelle,07 (juillet),www.festivrac.com,AD145,PONT DE VAUX,,26,,,1/1/1993,,,,,,,,,1190,1305,46.44228645,,,,,,,,,,
LES VACHES FOLKS,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,1,Annuelle,07 (juillet),http://www.lesvachesfolks.fr/,AD245,DIVONNE LES BAINS,,13,,,1/1/2006,,,,,,,,,1220,1143,46.37563335,,,,,,,,,,
EPINAL BOUGE L'ETE,Grand Est,Pluridisciplinaire Spectacle vivant,,88,Annuelle,07 (juillet),http://www.epinal.fr/,FB010,EPINAL,,7,,,1/1/2012,,,,,,,,,88000,88160,48.16312027,,,,,,,,,,
Scènes d'été,Hauts-de-France,Musiques actuelles,,60,Annuelle,07 (juillet),https://culture.beauvais.fr/acteur-culturel/scenes-d-été,GD117,BEAUVAIS,,27,,,1/1/1992,,,,,,,,,60000,60057,49.43655233,,,,,,,,,,
TRANSAT EN VILLE,Bretagne,Transdisciplinaire,,35,Annuelle,07 (juillet),www.tourisme-rennes.com,CA007,RENNES,,15,,,1/1/2004,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
Festival de Gwo ka,Guadeloupe,Pluridisciplinaire Spectacle vivant,,971,Annuelle,07 (juillet),https://fr-fr.facebook.com/Festival-de-Gwoka-de-Sainte-Anne-291492637695533,NB001,STE ANNE,,31,,,1/1/1988,oui,,,,,,,,97180,97128,16.25723009,,,,,,,,,,
Country In Mirande,Occitanie,Musiques actuelles,Musiques traditionnelles et du monde,32,,07 (juillet),,KD109,Mirande,,,,,,,,,,,,,,32300,32256,43.5186714,,,,,,,,,,
31 NOTES D'ÉTÉ,Occitanie,Musiques actuelles,,31,Annuelle,07 (juillet),www.haute-garonne.fr,KD084,TOULOUSE,,21,,,1/1/1998,,,,,,,,,31300,31555,43.59638143,,,,,,,,,,
PLACE AUX ARTISTES,Bretagne,Musiques actuelles,,22,Annuelle,07 (juillet),https://www.saintquayportrieux.com/,CD182,ST QUAY PORTRIEUX,,17,,,1/1/2002,,,,,,,,,22410,22325,48.6542475,,,,,,,,,,
CONTRE-PLONGÉES DE L'ÉTÉ,Auvergne-Rhône-Alpes,Transdisciplinaire,,63,Annuelle,07 (juillet),www.clermont-ferrand.fr/,AA008,CLERMONT FERRAND,,18,,,1/1/2001,,,,,,,,,63100,63113,45.7856493,,,,,,,,,,
DROLES DE RUES (SITES EN SCENE),Nouvelle-Aquitaine,Pluridisciplinaire Spectacle vivant,,17,Annuelle,07 (juillet),http://www.jonzac-tourisme.com,JB035,JONZAC,,15,,,1/1/2004,,,,,,,,,17500,17197,45.44198274,,,,,,,,,,
PLEINS FEUX FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,74,Annuelle,07 (juillet),www.pleins-feux-festival.com,AD308,BONNEVILLE,,21,,,1/1/1998,,,,,,,,,74130,74042,46.0739004,,,,,,,,,,
Le Grand Festival,Grand Est,Pluridisciplinaire Spectacle vivant,,55,,07 (juillet),,FB006,VERDUN,,,,,,,,,,,,,,55100,55545,49.14548319,,,,,,,,,,
SALUT A VOUS,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,33,Annuelle,07 (juillet),http://www.salutavous.fr/,JD090,Jau Dignac et Loirac,,4,,,1/1/2015,,,,,,,,,33590,33208,45.41498334,,,,,,,,,,
Kolorz Festival Edition été,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,84,Annuelle,07 (juillet),,MD138,CARPENTRAS,,9,,,1/1/2010,,,,,,,,,84200,84031,44.05938026,,,,,,,,,,
CHABLIS BOUGE TON CRU,Bourgogne-Franche-Comté,Musiques actuelles,Chanson,89,Biennale années paires,07 (juillet),www.chablis-bouge-son-cru.fr/,BD013,CHABLIS,,,,,1/1/2014,,,,,,,,,89800,89068,47.80759952,,,,,,,,,,
LES RUES EN MUSIQUE,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belledonne en Cirque,Auvergne-Rhône-Alpes,Cirque et Arts de la rue,Cirque,38,,07 (juillet),,AM002,Revel,,,,,,,,,,,,,,38420,38334,45.16812066,,,,,,,,,,
L’Étang du Folk,Bourgogne-Franche-Comté,Musiques actuelles,,58,,07 (juillet),,BD032,Chevenon,,,,,,,,,,,,,,58160,58072,46.9145671,,,,,,,,,,
Chemins de l'imaginaire,Nouvelle-Aquitaine,Pluridisciplinaire Spectacle vivant,,24,,07 (juillet),,JB007,Terrasson,,,,,,,,,,,,,,24120,24547,45.11814636,,,,,,,,,,
Festi-Jazz,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Rues de l'Etang,Provence-Alpes-Côte d'Azur,Cirque et Arts de la rue,Arts de la rue,13,Annuelle,08 (août),https://www.istres-tourisme.com/les-rues-de-l-etang.html#.W4oJWugzbIU,MM021,ISTRES,Saint-Mitre-les-Remparts,,,,,,,,,,,,,,,,,,,,,,,,,
La Bouillie à Sosso,Pays de la Loire,Musiques actuelles,,85,,08 (août),www.labouillieasosso.fr,LD100,Cheffois,,,,,,,,,,,,,,85390,85067,46.67869356,,,,,,,,,,
RENCONTRES CHORALES DE L'OLIVIER,Provence-Alpes-Côte d'Azur,Musiques classiques,Lyrique et choral,6,,08 (août),www.coazart.com,ME005,COARAZE,,,,,,,,,,,,,,6390,6043,43.86649018,,,,,,,,,,
Musiciennes à Ouessant,Bretagne,Musiques classiques,Musique contemporaine,29,,08 (août),http://www.musiciennesaouessant.com/,CE007,OUESSANT,,,,,,oui,,,,,,,,29242,29155,48.46010423,,,,,,,,,,
FESTIVAL DE BIG BAND DE PERTUIS,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Fondus du Macadam,Auvergne-Rhône-Alpes,Cirque et Arts de la rue,Arts de la rue,74,Annuelle,08 (août),https://www.thononevenements.com/fondus-du-macadam/,AM013,THONON LES BAINS,,23,,,1/1/1996,,,,,,,,,74200,74281,46.3704258,,,,,,,,,,
Les inattendus de Malbrouck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUIBLUES,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARTEMPE BLUES FESTIVAL,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAÔUT,Occitanie,Musiques actuelles,,81,Annuelle,08 (août),www.festivaout.com,KD206,LAUTREC,,16,,,1/1/2003,,,,,,,,,81440,81139,43.70524685,,,,,,,,,,
JAZZ DE LUNEL,Occitanie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIGRAT'S,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,74,Annuelle,08 (août),http://www.prazdelys-sommand.com/,AD134,TANINGES,,10,,,1/1/2009,,,,,,,,,74440,74276,46.12650716,,,,,,,,,,
Estivales de Puisaye,Bourgogne-Franche-Comté,Musiques classiques,,89,Annuelle,08 (août),https://www.estivales-puisaye.com/,BE006,Champignelles,,16,,,1/1/2003,,,,,,,,,89350,89073,47.78002835,,,,,,,,,,
JAZZ A RAMATUELLE,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival du nouveau Théâtre Populaire,Pays de la Loire,Théâtre,,49,Annuelle,08 (août),www.festivalntp.com,LG001,LES BOIS D ANJOU,,10,,,1/1/2009,oui,,,,,,,,49250,49138,47.48291678,,,,,,,,,,
Etats généraux du documentaire de Lussas,Auvergne-Rhône-Alpes,Cinéma et audiovisuel,Documentaire,7,,08 (août),www.lussasdoc.org,AJ026,Lussas,,,,,1/1/1990,oui,,,,,,,,7170,7145,44.61921771,,,,,,,,,,
FESTIVAL DE MARTIGUES,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques traditionnelles et du monde,13,Annuelle,08 (août),www.festivaldemartigues.com,MD172,MARTIGUES,,30,,,1/1/1989,,,,,,,,,13117,13056,43.37989205,,,,,,,,,,
SAND & CHOPIN EN SEYNE,Provence-Alpes-Côte d'Azur,Musiques classiques,,83,Annuelle,08 (août),www.festivalsandetchopinenseyne.com,ME021,LA SEYNE SUR MER,,4,,,1/1/2015,,,,,,,,,83500,83126,43.0880295,,,,,,,,,,
ALPIN'DUB,Auvergne-Rhône-Alpes,Musiques actuelles,,38,,08 (août),http://alpindub.fr/,AD261,Sept Laux Prapoutel,Auvergne-Rhône-Alpes,,,,,,,,,,,,,38190,38002,45.25860706,,,,,,,,,,
FESTIVAL BWD 12,Auvergne-Rhône-Alpes,Musiques classiques,Musique de chambre,42,Annuelle,08 (août),www.bwd12.fr,AE016,ST ETIENNE,,14,,,1/1/2005,,,,,,,,,42100,42218,45.43012355,,,,,,,,,,
FESTIVAL FISEL,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,22,Annuelle,08 (août),www.fisel.org,CD108,ROSTRENEN,,46,,,1/1/1973,,,,,,,,,22110,22266,48.22154277,,,,,,,,,,
LA RUE EST A MOY,Occitanie,Cirque et Arts de la rue,Arts de la rue,12,Annuelle,08 (août),http://www.aveyron-culture.com/diffusio/contact/moyrazes/anim-a-moy_TFO118397.php,KM028,MOYRAZES,,9,,,1/1/2010,,,,,,,,,12160,12162,44.32758048,,,,,,,,,,
ENDEMIK FESTIVAL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,83,Annuelle,08 (août),http://www.endemik.fr/,MD017,CORRENS,,3,,,1/1/2016,,,,,,,,,83570,83045,43.48641856,,,,,,,,,,
FESTIVAL DE NONETTE / SCENES DE VIE,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,63,Annuelle,08 (août),http://www.lahautsijysuis.fr/,AD257,Nonette,,10,,,1/1/2009,,,,,,,,,63340,63255,45.48469828,,,,,,,,,,
FESTIVAL DU RIRE D'YSSINGEAUX,Auvergne-Rhône-Alpes,Divers Spectacle vivant,Humour,43,Annuelle,08 (août),http://www.festivaldurire.fr,AH014,YSSINGEAUX,,27,,,1/1/1992,,,,,,,,,43200,43268,45.13937613,,,,,,,,,,
FESTIVAL LES PIEDS DANS LA SAUCE,Centre-Val de Loire,Musiques actuelles,,37,Annuelle,08 (août),http://www.lasauceruralsoundsystem.org,DD070,CIVRAY DE TOURAINE,,8,,,1/1/2011,,,,,,,,,37150,37079,47.33945742,,,,,,,,,,
Festival International du Film Nancy-Lorraine,Grand Est,Cinéma et audiovisuel,,54,,08 (août),www.fifnl.com,FJ008,NANCY,,,,,1/1/1995,,,,,,,,,54000,54395,48.69019955,,,,,,,,,,
LE CHAHUT VERT,Hauts-de-France,Pluridisciplinaire Spectacle vivant,,80,Annuelle,08 (août),www.lechahutvert.com,GB006,Hornoy le Bourg,,4,,,1/1/2015,,,,,,,,,80640,80443,49.84742998,,,,,,,,,,
Paris Summer Jam,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,92,,08 (août),https://www.livenation.fr/,HD196,NANTERRE,,,,,,,,,,,,,,92000,92050,48.89607013,,,,,,,,,,
FESTIVAL DES MUSIQUES SACREES DU MONDE DE SAINT-ANTOINE DE FICALBA,Nouvelle-Aquitaine,Pluridisciplinaire Musique,,47,Annuelle,08 (août),http://sacree-saint-antoine.fr/,JC004,St -Antoine de Ficalba,,4,,,1/1/2015,,,,,,,,,47340,47238,44.18682094,,,,,,,,,,
Newave Festival,Nouvelle-Aquitaine,Musiques actuelles,,40,Annuelle,08 (août),www.newavefestival.com,JD195,Seignosse,,3,,,1/1/2016,,,,,,,,,40510,40296,43.7021964,,,,,,,,,,
MASCAROCK,Nouvelle-Aquitaine,Musiques actuelles,,33,Annuelle,08 (août),http://www.mairie-vayres.fr/Mascarock-2018,JD196,Vayres,,11,,,1/1/2008,,,,,,,,,33870,33539,44.89106561,,,,,,,,,,
FESTIVAL DES FESTIVALS,Nouvelle-Aquitaine,Cinéma et audiovisuel,,17,Annuelle,08 (août),https://la.charente-maritime.fr/culture-patrimoine/festival-des-festivals,JJ038,SURGERES,,2,,,1/1/2017,,,,,,,,,17700,17434,46.10447738,,,,,,,,,,
CHAHUT AU CHATEAU,Bourgogne-Franche-Comté,Pluridisciplinaire Spectacle vivant,,39,Annuelle,08 (août),https://chahutauchateau.com,BB009,Gevingey,,4,,,1/1/2015,,,,,,,,,39570,39251,46.63759865,,,,,,,,,,
CITHEM FESTIVAL,Normandie,Transdisciplinaire,,61,Annuelle,08 (août),www.cithemfestival.fr,IA008,ALENCON,,5,,,1/1/2014,,,,,,,,,61000,61001,48.43181931,,,,,,,,,,
TRES COOL FESTIVAL,Normandie,Musiques actuelles,,14,Annuelle,08 (août),www.trescool.fr/index,ID070,DEAUVILLE,,1,,,1/1/2018,,,,,,,,,14800,14220,49.35438009,,,,,,,,,,
Sinfonia en Périgord,Nouvelle-Aquitaine,Musiques classiques,Baroque et ancien,24,Annuelle,08 (août),www.sinfonia-en-perigord.com/,JE010,PERIGUEUX,Chanterac / Coulounieix Chamiers / Leguillac de l'Auche / Razac sur l'Isle / Sorges / Chancelade / Coursac / Boulazac,28,,,1/1/1991,oui,,,,,,,,24000,24322,45.19187049,,,,,,,,,,
FESTIROCK'AIL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,84,,08 (août),,MD145,PIOLENC,,,,,,,,,,,,,,84420,84091,44.17746971,,,,,,,,,,
Festival O! Les Rues,Nouvelle-Aquitaine,Cirque et Arts de la rue,Arts de la rue,17,Annuelle,08 (août),https://www.olesrues.fr/,JM023,Dolus d Oleron,,4,,,1/1/2015,,,,,,,,,17550,17140,45.90961854,,,,,,,,,,
BIKINI FEST,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,31,Annuelle,08 (août),http://www.lebikini.com,KD078,RAMONVILLE ST AGNE,,4,,,1/1/2015,,,,,,,,,31520,31446,43.54418379,,,,,,,,,,
Festival des Arts de la Rue de Sainte Savine,Grand Est,Cirque et Arts de la rue,Arts de la rue,10,Annuelle,08 (août),https://www.lart-deco.com/festival-des-arts-de-la-rue,FM003,Ste Savine,,17,,,1/1/2002,,,,,,,,,10300,10362,48.2963409,,,,,,,,,,
FESTIV'ETE DE ST JEAN DE FOLLEVILLE,Normandie,Musiques actuelles,Musiques amplifiées ou électroniques,76,Annuelle,08 (août),www.festiv-ete-normandie.fr,ID068,ST JEAN DE FOLLEVILLE,,13,,,1/1/2006,,,,,,,,,76170,76592,49.50505675,,,,,,,,,,
POP TERRASSE,Nouvelle-Aquitaine,Musiques actuelles,,64,Annuelle,08 (août),http://pop-terrasse.fr/,JD193,ANGLET,,2,,,1/1/2017,,,,,,,,,64600,64024,43.49178466,,,,,,,,,,
La Cabanne des Arts,Nouvelle-Aquitaine,Cirque et Arts de la rue,Arts de la rue,64,Annuelle,08 (août),https://fr-fr.facebook.com/lacabannedesarts/,JM012,Monein,,8,,,1/1/2011,,,,,,,,,64360,64393,43.29117683,,,,,,,,,,
LES PAGES MUSICALES DE LAGRASSE,Occitanie,Musiques classiques,Musique de chambre,11,Annuelle,08 (août),www.festival-lagrasse.fr,KE014,Lagrasse,,4,,,1/1/2015,,,,,,,,,11220,11185,43.09572303,,,,,,,,,,
La Rue Bucolique,Normandie,Cirque et Arts de la rue,Arts de la rue,50,Annuelle,08 (août),http://letourp.com/evenements/la-rue-bucolique/,IM015,La Hague,,13,,,1/1/2006,,,,,,,,,50440,50041,49.66316473,,,,,,,,,,
Les Toiles dans la Ville,Hauts-de-France,Cirque et Arts de la rue,Cirque,59,Biennale années impaires,09 (septembre),www.leprato.fr,GM014,LILLE,Aire-sur-la-lys,,,,,,,,,,,,,,,,,,,,,,,,,
Dehors !,Auvergne-Rhône-Alpes,Pluridisciplinaire Spectacle vivant,,26,,09 (septembre),www.dehorsblog.wordpress.com,AB024,PORTES LES VALENCE,,,,,,,,,,,,,,26800,26252,44.87578332,,,,,,,,,,
LES CROQUEURS DE PAVE,Centre-Val de Loire,Cirque et Arts de la rue,Arts de la rue,45,Annuelle,09 (septembre),http://www.agoradevesines.com,DM003,Chalette sur Loing,,13,,,1/1/2006,,,,,,,,,45120,45068,48.01881216,,,,,,,,,,
LES SOLISTES À BAGATELLE,Île-de-France,Musiques classiques,,75,Annuelle,09 (septembre),www.ars-mobilis.fr,HE013,PARIS,,19,,,1/1/2000,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
TERIAKI / SIESTES TERIAKI,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,72,Annuelle,09 (septembre),www.teriaki.fr,LD091,LE MANS,,18,,,1/1/2001,,,,,,,,,72000,72181,47.98852567,,,,,,,,,,
JOUR & NUIT,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,38,Annuelle,09 (septembre),www.la-belle-electrique.com,AD263,GRENOBLE,,7,,,1/1/2012,,,,,,,,,38000,38185,45.18212152,,,,,,,,,,
EMERGENCE A LYON,Auvergne-Rhône-Alpes,Musiques actuelles,,69,Annuelle,09 (septembre),https://mairie5.lyon.fr/evenement/festival/festival-emergence-0,AD264,LYON,,9,,,1/1/2010,,,,,,,,,69001,69381,45.76992844,,,,,,,,,,
FESTIVAL DE L'ILOPHONE,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,29,Annuelle,09 (septembre),http://www.ilophone.com,CD124,OUESSANT,,11,,,1/1/2008,,,,,,,,,29242,29155,48.46010423,,,,,,,,,,
L'ENFER FESTIVAL,Grand Est,Transdisciplinaire,Livre et arts visuels,54,Annuelle,09 (septembre),http://lenferfestival.blogspot.fr/,FA005,NANCY,,4,,,1/1/2015,,,,,,,,,54000,54395,48.69019955,,,,,,,,,,
FESTIVAL POT'ARTS,Grand Est,Pluridisciplinaire Spectacle vivant,,68,Annuelle,09 (septembre),www.cc-secteurdillfurth.fr,FB018,Tagolsheim,,17,,,1/1/2002,,,,,,,,,68720,68332,47.65486348,,,,,,,,,,
JAZZABAR,Grand Est,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival Off-Courts de Trouville,Normandie,Cinéma et audiovisuel,Courts-métrages,14,Annuelle,09 (septembre),www.off-courts.com,IJ001,TROUVILLE SUR MER,,19,,,1/1/2000,oui,oui,,,,,,,14360,14715,49.37212468,,,,,,,,,,
Les Accroches Cœurs,Pays de la Loire,Cirque et Arts de la rue,Arts de la rue,49,Annuelle,09 (septembre),www.angers.fr/accrochecoeurs,LM004,ANGERS,,20,,,1/1/1999,,,,,,,,,49000,49007,47.47683742,,,,,,,,,,
MUSES EN TROC,Pays de la Loire,Cirque et Arts de la rue,Arts de la rue,44,Annuelle,09 (septembre),www.muses-en-troc.org,LM011,Le Landreau,,16,,,1/1/2003,,,,,,,,,44430,44079,47.20776648,,,,,,,,,,
AWARANDA,Bourgogne-Franche-Comté,Musiques actuelles,Musiques traditionnelles et du monde,71,Annuelle,09 (septembre),http://awaranda.fr/,BD005,IGUERANDE,,20,,,1/1/1999,,,,,,,,,71340,71238,46.21652721,,,,,,,,,,
Festival d'Automne de Paris,Île-de-France,Pluridisciplinaire Spectacle vivant,,75,Annuelle,09 (septembre),www.festival-automne.com,HB002,PARIS,,47,,,1/1/1972,oui,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
THE EUROPEAN BLUES CRUISE,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTUAIRE D'EN RIRE,Normandie,Divers Spectacle vivant,Humour,14,Annuelle,09 (septembre),www.estuairedenrire.com,IH006,HONFLEUR,,19,,,1/1/2000,,,,,,,,,14600,14333,49.41294497,,,,,,,,,,
I'm from Rennes,Bretagne,Musiques actuelles,,35,Annuelle,09 (septembre),http://www.imfromrennes.com,CD162,RENNES,,7,,,1/1/2012,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
AUTOMNE MUSICAL DE TAVERNY,Île-de-France,Musiques classiques,,95,Annuelle,09 (septembre),www.automnemusicaltaverny.com,HE015,Taverny,,36,,,1/1/1983,,,,,,,,,95150,95607,49.02673162,,,,,,,,,,
O LES CHŒURS Brive,Nouvelle-Aquitaine,Musiques actuelles,,19,Annuelle,09 (septembre),https://elizabethmydear.fr/,JD203,Brive la Gaillarde,Tulle (19),22,,,1/1/1997,,,,,,,,,19100,19031,45.14358307,,,,,,,,,,
QPN - Quinzaine Photographique Nantaise,Pays de la Loire,Arts plastiques et visuels,Photographie,44,Annuelle,09 (septembre),https://www.festival-qpn.com/,,NANTES,,22,,,1/1/1997,,,,,,,,,44200,44109,47.23163568,,,,,,,,,,
FESTIVAL DU RIRE FERNAND RAYNAUD,Auvergne-Rhône-Alpes,Divers Spectacle vivant,Humour,3,Annuelle,09 (septembre),www.ville-saint-germain.com,AH015,ST Germain des Fosses,,7,,,1/1/2012,,,,,,,,,3260,3236,46.1959477,,,,,,,,,,
FRIENDSTIVAL,Île-de-France,Musiques actuelles,,95,Annuelle,09 (septembre),www.friendstival.com,HD202,PONTOISE,,9,,,1/1/2010,,,,,,,,,95300,95500,49.05137379,,,,,,,,,,
PRINTEMPS DES ORGUES,Pays de la Loire,Musiques classiques,,85,Annuelle,09 (septembre),http://printempsdesorgues.fr/,LE007,AVRILLE,,27,,,1/1/1992,,,,,,,,,85440,85010,46.47442721,,,,,,,,,,
Festival de l’écrit à l’écran,Auvergne-Rhône-Alpes,Cinéma et audiovisuel,,26,,09 (septembre),www.actes-en-drome.fr,AJ024,Montelimar,,,,,1/1/2013,oui,,,,,,,,26200,26198,44.55408457,,,,,,,,,,
AU SUD DU NORD,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
