Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
NOUVELLE(S) SCENE(S),Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,79,Annuelle,03 (mars),www.nouvelles-scenes.com,JD238,NIORT,Sainte Neomaye (79),9,3/21/2019,3/30/2019,1/1/2010,,,,,,,,,79000,79191,46.32826024,,,,,,,,,,
ALORS ON SEME,Pays de la Loire,Divers Spectacle vivant,Humour,49,Annuelle,03 (mars),http://jardinsdurire.com,LH004,ANGERS,,,3/21/2019,3/23/2019,,,,,,,,,,49000,49007,47.47683742,,,,,,,,,,
Festival international du film de femmes de Créteil,Île-de-France,Cinéma et audiovisuel,,94,Annuelle,03 (mars),www.filmsdefemmes.com,HJ058,CRETEIL,,40,3/22/2019,3/30/2019,1/1/1979,,oui,,,,,,,94000,94028,48.78374018,,,,,,,,,,
JAZZ IN MARS,Normandie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAZZ BAT LA CAMPAGNE,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinélatino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendanges graphiques,Auvergne-Rhône-Alpes,Livre et littérature,Bande dessinée,69,Annuelle,03 (mars),https://fr-fr.facebook.com/pg/Vendanges-graphiques-296551497126116/posts/,AK020,Condrieu,,6,3/23/2019,3/24/2019,1/1/2013,,,,,,,,,69420,69064,45.47430838,,,,,,,,,,
FOLLE NUIT DU FOLK,Centre-Val de Loire,Musiques actuelles,Musiques traditionnelles et du monde,41,,03 (mars),www.ucps.fr,DD054,LA MAROLLE EN SOLOGNE,,,3/23/2019,3/23/2019,,,,,,,,,,41210,41127,47.58298325,,,,,,,,,,
festival de la BD de Colmar,Grand Est,Livre et littérature,Bande dessinée,68,Annuelle,03 (mars),http://lesprit-bd.com/,FK014,COLMAR,,16,3/23/2019,3/24/2019,1/1/2003,,,,,,,,,68000,68066,48.10994058,,,,,,,,,,
LES PARADIS ARTIFICIELS,Hauts-de-France,Musiques actuelles,,59,Annuelle,03 (mars),www.lesparadisartificiels.fr,GD019,LILLE,Bethune (62)  /  Amiens (80)  /  Oignies (62)  /  Dunkerque (59)  /  Tourcoing (59),11,3/23/2019,3/31/2019,1/1/2008,,,,oui,,,,,59160,59350,50.63171832,,,,,,,,,,
Les Francos,Île-de-France,Théâtre,,78,,03 (mars),,HG006,Mantes la Jolie,,,3/23/2019,4/13/2019,,,,,,,,,,78200,78361,48.99816654,,,,,,,,,,
Festival Ciné-jeune de l'Aisne,Hauts-de-France,Cinéma et audiovisuel,Enfance et jeunesse,2,Annuelle,03 (mars),www.cinejeune02.wordpress.com,GJ001,LAON,Diverses communes,36,3/26/2019,4/14/2019,1/1/1983,oui,,,,,,,,2000,2408,49.56797249,,,,,,,,,,
RENCONTRES INTERNATIONALES DE LA GUITARE A ANTONY,Île-de-France,Pluridisciplinaire Musique,,92,Annuelle,03 (mars),www.ville-antony.fr,HC010,ANTONY,,26,3/27/2019,3/31/2019,1/1/1993,,,,,,,,,92160,92002,48.75034126,,,,,,,,,,
LES 3J COMIQUES,Provence-Alpes-Côte d'Azur,Divers Spectacle vivant,Humour,83,Annuelle,03 (mars),http://www.pugetsurargens-tourisme.com,MH018,PUGET SUR ARGENS,,5,3/27/2019,3/29/2019,1/1/2014,,,,,,,,,83480,83099,43.47176713,,,,,,,,,,
Festival du Cinéma Espagnol de Nantes,Pays de la Loire,Cinéma et audiovisuel,Cinémas étrangers,44,,03 (mars),www.cinespagnol-nantes.com,LJ007,NANTES,,,3/28/2019,4/7/2019,1/1/1991,,,,,,,,,44200,44109,47.23163568,,,,,,,,,,
TALANT INTERNATIONAL BLUES FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPER FLUX,Centre-Val de Loire,Pluridisciplinaire Musique,,37,Annuelle,03 (mars),https://www.letempsmachine.com/,DC005,TOURS,,5,3/29/2019,3/31/2019,1/1/2014,,,,,,,,,37000,37261,47.39863823,,,,,,,,,,
ELFONDUROCK,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,91,Annuelle,03 (mars),www.marcoussis.fr,HD135,MARCOUSSIS,,23,3/29/2019,3/30/2019,1/1/1996,,,,,,,,,91460,91363,48.64633219,,,,,,,,,,
RARES TALENTS,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN GRANGEONS LA MUSIQUE,Auvergne-Rhône-Alpes,Pluridisciplinaire Musique,,1,Biennale années impaires,03 (mars),www.engrangeonslamusique.fr,AC011,BOURG EN BRESSE,Diverses communes,12,3/31/2019,11/17/2019,1/1/2007,,,,,,,,,1000,1053,46.20515204,,,,,,,,,,
CULTURES URBAINES A CANTELEU,Normandie,Pluridisciplinaire Spectacle vivant,,76,Annuelle,03 (mars),www.ville-canteleu.fr/,IB003,CANTELEU,,18,3/31/2019,4/20/2019,1/1/2001,,,,,,,,,76380,76157,49.43309924,,,,,,,,,,
CHAMONIX UNLIMITED FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,74,Annuelle,04 (avril),http://www.chamonix-unlimited.com,AD061,CHAMONIX MONT BLANC,,3,4/2/2019,4/7/2019,1/1/2016,,,,,,,,,74400,74056,45.93098191,,,,,,,,,,
Semaine du cinéma hispanique,Auvergne-Rhône-Alpes,Cinéma et audiovisuel,Cinémas étrangers,63,Annuelle,04 (avril),http://cinehispanique.fr/lassociation,AJ049,CLERMONT FERRAND,,17,4/2/2019,4/9/2019,1/1/2002,oui,,,,,,,,63100,63113,45.7856493,,,,,,,,,,
Festival du moyen-métrage de Brive,Nouvelle-Aquitaine,Cinéma et audiovisuel,Courts-métrages,19,,04 (avril),www.festivalcinemabrive.fr,JJ011,Brive la Gaillarde,,,4/2/2019,4/7/2019,1/1/2004,,oui,,,,,,,19100,19031,45.14358307,,,,,,,,,,
Festival Play it again,Île-de-France,Cinéma et audiovisuel,Animation,75,,04 (avril),www.festival-playitagain.com,HJ065,PARIS,Diverses communes,,4/3/2019,4/9/2019,1/1/2015,,oui,,,,,,,75001,75101,48.86263049,,,,,,,,,,
LES ANDAIN'RIES,Normandie,Divers Spectacle vivant,Humour,61,Annuelle,04 (avril),https://www.lesandainries.fr/,IH010,BAGNOLES DE L ORNE NORMANDIE,,20,4/3/2019,4/13/2019,1/1/1999,,,,oui,,,,,61140,61483,48.55565852,,,,,,,,,,
MUSIQUE ET CULTURE,Grand Est,Pluridisciplinaire Musique,,68,,04 (avril),www.printemps-colmar.com,FC004,COLMAR,,,4/4/2019,4/18/2019,,,,,,,,,,68000,68066,48.10994058,,,,,,,,,,
LES NOCES FELINES,Grand Est,Musiques actuelles,,51,Annuelle,04 (avril),http://velours-prod.com/,FD109,REIMS,,8,4/4/2019,4/6/2019,1/1/2011,,,,,,,,,51100,51454,49.25149061,,,,,,,,,,
FUNAMBALS,Auvergne-Rhône-Alpes,Musiques actuelles,,69,,04 (avril),http://funambals2018.lacampanule.fr/,AD164,VILLEURBANNE,,,4/5/2019,4/7/2019,,,,,,,,,,69100,69266,45.77077042,,,,,,,,,,
PZZLE FESTIVAL,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,59,Annuelle,04 (avril),https://www.pzzlefestival.com,GD123,LILLE,,,4/5/2019,4/7/2019,1/1/2015,,,,,,,,,59160,59350,50.63171832,,,,,,,,,,
les 48h de la BD,Île-de-France,Livre et littérature,Bande dessinée,75,,04 (avril),http://www.48hbd.com/,HK006,PARIS,,,4/5/2019,4/6/2019,,,,oui,,,,,,75001,75101,48.86263049,,,,,,,,,,
FESTIVAL A CORPS,Nouvelle-Aquitaine,Danse,Danse contemporaine,86,Annuelle,04 (avril),www.festivalacorps.com,JF005,POITIERS,,25,4/5/2019,4/12/2019,1/1/1994,,,,,,,,,86000,86194,46.58392077,,,,,,,,,,
Printemps du livre,Pays de la Loire,Livre et littérature,,85,Annuelle,04 (avril),www.pdl.terresdemontaigu.fr,LK009,MONTAIGU,,30,4/5/2019,4/7/2019,1/1/1989,,,,,,,,,85600,85146,46.97598009,,,,,,,,,,
Fête du livre de jeunesse,Auvergne-Rhône-Alpes,Livre et littérature,Livre de jeunesse,69,Annuelle,04 (avril),www.fetedulivre.villeurbanne.fr,AK025,VILLEURBANNE,,19,4/6/2019,4/7/2019,1/1/2000,,,,,,,,,69100,69266,45.77077042,,,,,,,,,,
Salon du livre d'expression populaire,Hauts-de-France,Livre et littérature,,62,,04 (avril),https://www.coleresdupresent.com/salon-du-livre/,GK003,ARRAS,,,4/6/2019,5/1/2019,,,,oui,,,,,,62000,62041,50.2898965,,,,,,,,,,
HEART SOUND METAL FEST,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,94,Annuelle,04 (avril),https://www.facebook.com/events/espace-jean-marie-poirier/heart-sound-metal-fest-2019-6-avril-sucy-en-brie/258894284981001/,HD252,SUCY EN BRIE,,3,4/6/2019,4/6/2019,1/1/2016,,,,,,,,,94370,94071,48.76564566,,,,,,,,,,
Festival Déam’Bulle,Pays de la Loire,Livre et littérature,Bande dessinée,44,Annuelle,04 (avril),www.festivalbdpornichet.com,LK011,PORNICHET,,1,4/6/2019,4/7/2019,1/1/2018,,,,,,,,,44380,44132,47.26157917,,,,,,,,,,
PUY DE MÔMES,Bretagne,Pluridisciplinaire Spectacle vivant,,56,Annuelle,04 (avril),http://www.cournon-auvergne.fr/Culture-et-patrimoine/Festival-Puy-de-Momes,AB049,COURNON,,24,4/9/2019,4/18/2019,1/1/1995,,,,,,,,,56200,56044,47.74900411,,,,,,,,,,
FESTIVAL DE MUSIQUE SACRÉE DE PERPIGNAN,Occitanie,Musiques classiques,Baroque et ancien,66,Annuelle,04 (avril),www.mairie-perpignan.fr/,KE004,PERPIGNAN,,,4/10/2019,4/20/2019,1/1/1987,,,,,,,,,66000,66136,42.69659541,,,,,,,,,,
OUTBREAK METAL FEST,Centre-Val de Loire,Musiques actuelles,Musiques amplifiées ou électroniques,41,Annuelle,04 (avril),www.theoutbreakfest.com,,BLOIS,,,4/10/2019,4/13/2019,1/1/2018,,,,,,,,,41000,41018,47.58170139,,,,,,,,,,
Rendez-vous de l’Histoire du monde arabe,Île-de-France,Livre et littérature,Littératures étrangères,75,Annuelle,04 (avril),www.imarabe.org,HK028,PARIS,,4,4/11/2019,4/14/2019,1/1/2015,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Festival de la BD de Perros-Guirec,Bretagne,Livre et littérature,Bande dessinée,22,Annuelle,04 (avril),www.bdperros.com,CK008,PERROS GUIREC,,24,4/13/2019,4/14/2019,1/1/1995,,,,,,,,,22700,22168,48.80943934,,,,,,,,,,
LES CASSEROLES,Centre-Val de Loire,Musiques actuelles,Musiques amplifiées ou électroniques,45,Annuelle,04 (avril),http://lescasseroles.wix.com,DD065,ST Jean De Braye,,,4/13/2019,4/13/2019,1/1/2014,,,,,,,,,45800,45284,47.91784976,,,,,,,,,,
Festival de l’oiseau et de la nature d’Abbeville,Hauts-de-France,Transdisciplinaire,Cinéma et nature,80,Annuelle,04 (avril),www.festival-oiseau-nature.com,GA005,ABBEVILLE,,28,4/13/2019,4/22/2019,1/1/1991,,,,,,,,,80100,80001,50.10835829,,,,,,,,,,
